Root_Prefix_Suffix,Type,Meaning,Examples
"a, ac, ad, af, ag, al, an, ap, as, at",Prefix,"to, toward, near, in addition to, by","aside, accompany, adjust, aggression, allocate, annihilate, affix, associate, attend, adverb"
"a, an",Prefix,"not, without","apolitical, atheist, anarchy, anonymous, apathy, aphasia, anemia"
"ab, abs",Prefix,"away from, off","absolve, abrupt, absent"
ante,Prefix,before,"anterior, anteroom, antebellum, antedate, antecedent, antediluvian"
"anti, ant",Prefix,"against, opposite","antisocial, antiseptic, antithesis, antibody, antichrist, antinomies, antifreeze, antipathy"
auto,Prefix,self,"automobile, automatic, automotive, autograph, autonomous, autoimmune"
"cat, cata, cath",Prefix,"down, with","catalogue, category, catheter"
circum,Prefix,around,"circumnavigate, circumflex, circumstance, circumcision, circumference, circumorbital, circumlocution, circumvent, circumscribe, circulatory"
"co, cog, col, con, com, cor",Prefix,"with, together","cohesiveness, cognate, collaborate, convene, commitment, compress, contemporary, converge, compact, confluence, convenient, concatenate, conjoin, combine, correct"
"com, con",Prefix,fully,"complete, compel, conscious, condense, confess, confirm"
"contra, counter",Prefix,"against, opposite","contradict, counteract, contravene, contrary, counterspy, contrapuntal"
de,Prefix,"from, down, away, to do the opposite, against","detach, deploy, derange, decrease, deodorize, devoid, deflate, degenerate, deice"
dia,Prefix,"through, across, between","diameter, diagonal, dialogue, dialect, dialectic, diagnosis, diachronic"
"dis, dys, dif",Prefix,"away, not, negative, opposite of, separate","dismiss, differ, disallow, disperse, dissuade, divide, disconnect, dysfunction, disproportion, disrespect, distemper, distrust, distaste, disarray, dyslexia"
"e, ex, ef, es, ec",Prefix,"out, away, from, fully","emit, expulsion, exhale, exit, express, exclusive, enervate, expel, exceed, explosion"
ecto,Prefix,"outside, external","ectomorph, ectoderm, ectoplasm"
"en, em",Prefix,"put into, make","enamor, empower"
endo,Prefix,"inside, within","endotoxin, endoscope, endogenous"
epi,Prefix,"upon, beside, over",epilogue
"exter, extra",Prefix,"outside of, beyond","external, extrinsic, exterior, extraordinary, extrabiblical, extracurricular, extrapolate, extraneous"
femto,Prefix,quadrillionth,femtosecond
"for, fore",Prefix,before,"forecast, fortune, foresee"
giga,Prefix,billion,"gigabyte, gigaflop"
hetero,Prefix,other,"heterodox, heterogeneous, heterosexual, heterodyne"
homo,Prefix,same,"homogenized, homosexual, homonym, homophone"
hyper,Prefix,"over, above","hyperactive, hypertensive, hyperbolic, hypersensitive, hyperventilate, hyperkinetic"
"in, im, (il)",Prefix,"in, into, on, near, toward","instead, import"
"in, im, il, ir",Prefix,not,"illegible, irresolute, inaction, inviolate, innocuous, intractable, innocent, impregnable, impossible, imposter"
infra,Prefix,beneath,"infrared, infrastructure"
inter,Prefix,"between, among","international, intercept, interject, intermission, internal, intermittent"
